,Name,Time,Nutrition,Ingredients,Directions
0,Chocolate Peanut Butter Protein Bars,"['Prep Time: 10 mins', 'Refrigerate Time: 30 mins', 'Total Time: 40 mins', 'Servings: 8']","['235 Calories', '16g Fat', '17g Carbs', '10g Protein']","['3/4 cup peanut butter', '1/2 cup vanilla protein powder', '2 tablespoons pure maple syrup', '1 teaspoon vanilla extract', '1/8 teaspoon salt', '1/2 cup semisweet chocolate chips', '1 teaspoon coconut oil']","['Line an 8 1/2x4 1/2-inch loaf pan with parchment paper, leaving overhang on all sides to make it easy to remove bars from the pan. Set aside.', 'Place peanut butter, protein powder, maple syrup, vanilla and salt in a bowl and mix until well combined; press into the prepared pan. Set aside.', 'Place chocolate chips and oil in a microwave safe bowl. Microwave for 30 seconds, stir. Repeat until chips are completely melted when stirred. Pour over bars, smooth chocolate. Refrigerate until set, about 30 minutes. Cut into 8 bars.']"
1,Perfect Summer Fruit Salad,"['Prep Time: 25 mins', 'Cook Time: 5 mins', 'Additional Time:  3 hrs', 'Total Time:  3 hrs 30 mins', 'Servings: 10']","['155 Calories', '1g Fat', '39g Carbs', '2g Protein']","['⅔ cup fresh orange juice', '⅓ cup fresh lemon juice', '⅓ cup packed brown sugar', '½ teaspoon grated orange zest', '½ teaspoon grated lemon zest', '1 teaspoon vanilla extract']","['Gather the ingredients.', 'For the sauce: Bring orange juice, lemon juice, brown sugar, orange zest, and lemon zest to a boil in a saucepan over medium-high heat. Reduce heat to medium-low and simmer until slightly thickened, about 5 minutes.', 'Remove from heat and stir in vanilla extract. Set aside to cool.', 'For the salad: Layer fruit in a large, clear glass bowl in this order: pineapple, strawberries, kiwi fruit, bananas, oranges, grapes, and blueberries. Pour cooled sauce over fruit; cover and refrigerate for 3 to 4 hours before serving.']"
2,Jamie's Sweet and Easy Corn on the Cob,"['Prep Time: 5 mins', 'Cook Time: 5 mins', 'Additional Time: 10 mins', 'Total Time: 20 mins', 'Servings: 6']","['94 Calories', '1g Fat', '22g Carbs', '3g Protein']","['2 tablespoons white sugar', '1 tablespoon lemon juice', '6 ears corn on the cob, husks and silk removed']","['Gather all ingredients.', 'Fill a large pot about 3/4 full of water and bring to a boil. Stir in sugar and lemon juice until sugar is dissolved.', 'Gently place ears of corn into boiling water, cover the pot, turn off the heat, and let corn cook in the hot water until tender, about 10 minutes.', 'Serve and enjoy!']"
3,Quick Whole Wheat Chapati,"['Prep Time: 10 mins', 'Cook Time: 10 mins', 'Total Time: 20 mins', 'Servings: 8 ', 'Yield: 8 servings']","['127 Calories', '1g Fat', '27g Carbs', '5g Protein']","['2 ½ cups whole wheat flour', '¾ teaspoon salt', '1 cup water']","['Mix flour and salt together in a bowl. Stir in water to form a soft dough.', 'Turn dough out onto a lightly floured work surface and knead several times. Divide into 8 pieces and roll each into a ball. Roll each ball into a very thin round using a rolling pin.', 'Heat a griddle over medium-high heat. Cook each dough round on griddle until dough bubbles and blisters appear, about 2 minutes. Flip and cook until lightly browned on the other side.']"
4,Miso Soup,"['Prep Time: 5 mins', 'Cook Time: 10 mins', 'Total Time: 15 mins', 'Servings: 4']","['63 Calories', '2g Fat', '5g Carbs', '6g Protein']","['4 cups water', '2 teaspoons dashi granules', '3 tablespoons miso paste', '1 (8 ounce) package silken tofu, diced', '2 green onions, sliced diagonally into 1/2 inch pieces']","['Gather all ingredients.', 'Combine water and dashi granules in a medium saucepan over medium-high heat; bring to a boil.', 'Reduce heat to medium and whisk in miso paste.', 'Stir in tofu.', 'Separate the layers of green onions, and add them to the soup. Simmer gently for 2 to 3 minutes before serving.']"
5,Homemade Crispy Hash Browns,"['Prep Time: 20 mins', 'Cook Time: 15 mins', 'Total Time: 35 mins', 'Servings: 4']","['183 Calories', '7g Fat', '26g Carbs', '5g Protein']","['2 medium russet potatoes, shredded', '½ medium onion, finely chopped', '¼ cup all-purpose flour', '1 large egg', '1 cup oil for frying, or as needed', 'salt and pepper to taste']","['Gather all ingredients.', 'Rinse shredded potatoes until water is clear, then drain and squeeze dry. Place shreds in a bowl and mix in the onion, flour, and egg until evenly distributed.', 'Heat about 1/4 inch of oil in a large heavy skillet over medium-high heat. When oil is sizzling hot, place potatoes into the pan in a 1/2 inch thick layer. Cover the whole bottom of the pan, or make separate piles like pancakes.', 'Cook until nicely browned on the bottom, then flip over and brown on the other side. It should take at least 5 minutes per side. If you are cooking them in one big piece, it can be cut into quarters for easier flipping.', 'Remove from pan, and drain on paper towels. Season with salt and pepper and serve immediately.', 'Serve hot and enjoy!']"
6,Split Pea Soup,"['Prep Time: 15 mins', 'Cook Time:  2 hrs', 'Additional Time:  8 hrs', 'Total Time:  10 hrs 15 mins', 'Servings: 6']","['310 Calories', '1g Fat', '58g Carbs', '20g Protein']","['2 ¼ cups dried split peas', '2 quarts cold water, plus more as needed', '1 ½ pounds ham bone', '2 onions, thinly sliced', '½ teaspoon salt', '¼ teaspoon ground black pepper', '1 pinch dried marjoram', '3 stalks celery, chopped', '3 carrots, chopped', '1 potato, diced']","['Gather all ingredients.', 'Place peas in a large stockpot and cover with several inches of cold water; let soak, 8 hours to overnight. Drain, rinse, and return peas to the pot.', 'Add 2 quarts of cold water, ham bone, onion, salt, pepper, and marjoram to the stockpot. Cover, bring to a boil, and simmer for 1 ½ hours, stirring occasionally.', 'Remove ham bone; cut off meat, dice, and return meat to soup.', 'Add celery, carrots, and potatoes.', 'Cook slowly, uncovered, until vegetables are tender, about 30 to 40 minutes.', 'Serve and enjoy!']"
7,Oven Roasted Potatoes,"['Prep Time: 15 mins', 'Cook Time: 30 mins', 'Total Time: 45 mins', 'Servings: 4']","['289 Calories', '7g Fat', '53g Carbs', '5g Protein']","['⅛ cup olive oil', '1 tablespoon minced garlic', '½ teaspoon dried basil', '½ teaspoon dried marjoram', '½ teaspoon dried dill weed', '½ teaspoon dried thyme', '½ teaspoon dried oregano', '½ teaspoon dried parsley', '½ teaspoon crushed red pepper flakes', '½ teaspoon salt', '4 large potatoes, peeled and cubed']","['Preheat the oven to 475 degrees F (245 degrees C).', 'Combine oil, garlic, basil, marjoram, dill, thyme, oregano, parsley, pepper flakes, and salt in a large bowl.', 'Stir in potatoes until evenly coated. Place potatoes in a single layer on a roasting pan or baking sheet.', 'Roast in the preheated oven, turning occasionally to brown on all sides, until tender, about 20 to 30 minutes.', 'Serve hot and enjoy!']"
8,Baked Honey Mustard Chicken,"['Prep Time: 15 mins', 'Cook Time: 30 mins', 'Total Time: 45 mins', 'Servings: 6']","['232 Calories', '4g Fat', '25g Carbs', '26g Protein']","['cooking spray', '6 skinless, boneless chicken breast halves', 'salt and pepper to taste', '½ cup honey', '½ cup prepared mustard', '1 teaspoon dried basil', '1 teaspoon paprika', '½ teaspoon dried parsley']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish with cooking spray.', 'Season chicken breasts with salt and pepper. Place in the prepared baking dish.', 'Combine honey, mustard, basil, paprika, and parsley in a small bowl; mix well. Pour 1/2 of the honey mustard mixture over chicken and brush to cover.', 'Bake in the preheated oven for 15 minutes. Turn chicken pieces over and brush with remaining honey mustard mixture. Continue baking until chicken is no longer pink and juices run clear, 10 to 15 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Let cool 10 minutes before serving. Enjoy!']"
9,Gnocchi,"['Prep Time: 30 mins', 'Cook Time: 40 mins', 'Additional Time: 5 mins', 'Total Time:  1 hr 15 mins', 'Servings: 4']","['314 Calories', '2g Fat', '64g Carbs', '10g Protein']","['3 medium russet potatoes, scrubbed', '1 ½ cups all-purpose flour, plus more for dusting', '1 large egg', '1 teaspoon kosher salt']","['Gather the ingredients.', 'Place potatoes in a large saucepan and cover with 2 inches of salted water. Bring to a boil over high heat; reduce heat to medium-high and simmer, undisturbed, until tender but still firm, 25 to 30 minutes. Drain potatoes and place back in the pot to dry and cool slightly, 5 to 10 minutes.', 'As soon as potatoes are cool enough to handle, peel potatoes by rubbing skins off with your hands. Pass peeled potatoes through a potato ricer into a large bowl (alternatively, mash until very smooth.) Let cool slightly, about 10 minutes.', 'Fold in flour, egg, and salt until flour is incorporated and dough starts to hold together. Transfer dough to a lightly floured surface and gently knead once or twice until mostly smooth (do not overwork).', 'Divide dough into 4 even portions. Roll and shape each portions of the dough into long ""snakes,"" about ¾-inch in diameter.', 'Cut snakes into about 1/2-inch long pieces. (Optional: Roll each piece against the tines of a fork or a gnocchi board to make light ridges.) Transfer shaped gnocchi to a single layer on a parchment-lined baking sheet dusted with flour.', 'Bring a large pot of lightly salted water to a boil over high. Working in batches, drop in gnocchi and cook for 3 to 4 minutes or until gnocchi have risen to the top; transfer cooked gnocchi with a spider or slotted spoon to desired sauce.', 'Serve and enjoy!']"
