,Name,Lat,Lon,Category
0,Avalon Fuel,40.495759,-80.066508,Convenience Store
1,Ez Energy #303/7Eleven #36183H,40.545418,-80.194152,Convenience Store
2,EZ Energy #311 / 7 Eleven #36191H,40.510522,-80.094268,Convenience Store
3,Getgo #3646 / Crafton - Ingram,41.203322,-77.194525,Convenience Store
4,Mt NeBlvd Texaco,40.553281,-80.109158,Convenience Store
5,Radokovic Marathon,40.367923,-79.780429,Convenience Store
6,Sunoco #7544,40.494177,-80.267208,Convenience Store
7,Sunoco A Plus Mini Market #8154,40.370214,-79.913195,Convenience Store
8,Plow & Hearth,40.440641,-80.149132,Convenience Store
9,S & R Market,40.529076,-80.025577,Convenience Store
10,EZ Energy #307 / 7 Eleven #36187H,40.590622,-79.948086,Convenience Store
11,Mega Deli,40.416874,-79.839453,Convenience Store
12,Sheetz #500,40.552928,-80.115508,Convenience Store
13,7 Eleven #35968H,40.396638,-77.026583,Convenience Store
14,7 Eleven #36143A,40.442813,-80.001884,Convenience Store
15,A & E Deli Food Mart,40.41739,-79.986525,Convenience Store
16,Al's Market,40.407271,-79.875462,Convenience Store
17,Alstan Mini Mart,40.426703,-79.788569,Convenience Store
18,American Joe's,40.340154,-79.859937,Convenience Store
19,American Natural,40.430917,-80.001402,Convenience Store
20,Avalon Mart,40.501336,-80.067941,Convenience Store
21,AW Food Express / Sunoco,40.540809,-79.807543,Convenience Store
22,Bett's Market,40.455264,-79.888216,Convenience Store
23,Cash & Carry,40.540405,-80.036133,Convenience Store
24,Cash & Carry Convenience Store,40.477508,-79.75943,Convenience Store
25,Clairton Mini Mart,40.290634,-79.883992,Convenience Store
26,Clairton Mini-Mart,40.293214,-79.88689,Convenience Store
27,Co Go's #1780,40.386385,-79.902763,Convenience Store
28,Co Go's #346,40.38845,-79.90976,Convenience Store
29,Co Go's #805,40.427102,-79.938593,Convenience Store
30,Co Go's #820,40.279791,-80.001782,Convenience Store
31,CR Petroleum,47.15441,-2.172958,Convenience Store
32,De Carlo Fruit Market,40.276563,-79.878044,Convenience Store
33,Edgewood Avenue Express,40.430663,-79.884352,Convenience Store
34,Edna's Market & Deli @ Northview Heights,40.478135,-80.000449,Convenience Store
35,Everest Food,40.336174,-79.972625,Convenience Store
36,Express Mini Mart,40.374467,-79.975539,Convenience Store
37,Fa's Market,40.404138,-79.861887,Convenience Store
38,Fuel On # 25,40.455308,-79.931608,Convenience Store
39,Fueland,40.518217,-80.222543,Convenience Store
40,Fueland #220,40.427276,-79.836019,Convenience Store
41,GetGo #3108,40.457119,-79.877698,Convenience Store
42,GetGo #3109,40.380961,-79.8115,Convenience Store
43,Glassmere Food Mart #252,40.595044,-79.76881,Convenience Store
44,Homestead Food Mart,40.407623,-79.909613,Convenience Store
45,Honey Bear / Spee-D Mart,40.349519,-79.891481,Convenience Store
46,International Food Emporium,40.367213,-79.984027,Convenience Store
47,Janoski's Farm Market,40.559221,-80.437686,Convenience Store
48,Jeets Sunoco,40.513271,-80.030768,Convenience Store
49,Jimit Sunoco,40.358373,-79.831701,Convenience Store
50,Jodha Exxon,40.510927,-79.993984,Convenience Store
51,Kolos International Food,40.406902,-80.087614,Convenience Store
52,Kwik E Mart,40.444199,-79.995537,Convenience Store
53,Large Sunoco,40.307385,-79.935894,Convenience Store
54,Marathon McKeesport,40.351443,-79.857948,Convenience Store
55,Maruti Convience,40.35267,-79.825732,Convenience Store
56,Mary's & Rick's,40.403354,-80.089813,Convenience Store
